Latitude,Longitude,Title,Description
-36.727860,-73.109506,Esquina Benaven,"Perez Gacitua N°190 Esquina Benaven, Talcahuano, Bío Bío"
-36.772838,-73.113664,Gran Bretaña,"Gran Bretaña N° 5475, Talcahuano, Bío Bío"
-36.784660,-73.086543,Cristobal Colón,"Av. Cristóbal Colón N°7655, 4602010 Hualpén, Bío Bío"
-36.778926,-73.077355,Autopista,"Autop. Concepción - Talcahuano N°, Talcahuano, Bío Bío"
-36.791170,-73.071390,Autopista 2,"Autop. Concepción - Talcahuano N° 8360, Hualpén, Bío Bío"
-36.810333,-73.073471,21 de Mayo,"Av. 21 De Mayo, Lorenzo Arenas 2750, Concepción, Bío Bío"
-36.811982,-73.059561,Anibal Pinto,"Anibal Pinto N° 1835, Concepción, Bío Bío"
-36.806114,-73.042566,Ejército,"Ejército N° 2001, 4060194 Concepción, Bío Bío"
-36.815278,-73.046594,Paicaví,"Paicaví N° 1248, 4081372 Concepción, Bío Bío"
-36.824973,-73.061738,Prat,"Prat, Esq, Juan Martínez de Rozas, Concepción, Bío Bío"
-36.822500,-73.050683,Los Carrera,"Av. Los Carrera N° 801, Concepción, Bío Bío"
-36.823237,-73.048921,Maipú,"Maipú N°895, 4030499 Concepción, Bío Bío"
